"Time","wellID","od","rowID","colID","abx","abx_conc","strain","replicate","abx_cond","str_abx_cond"
5.83388888888889,"B1",0.1225,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.00083333333333,"B1",0.1327,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.1675,"B1",0.1414,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.33416666666667,"B1",0.1522,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.50083333333333,"B1",0.164,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.66694444444444,"B1",0.1754,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
6.83388888888889,"B1",0.1868,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.00055555555556,"B1",0.1995,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.16722222222222,"B1",0.2111,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.33388888888889,"B1",0.2233,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.50055555555556,"B1",0.2356,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.66722222222222,"B1",0.248,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
7.83388888888889,"B1",0.2577,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.00055555555556,"B1",0.269,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.16722222222222,"B1",0.2787,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.33388888888889,"B1",0.287,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.50055555555556,"B1",0.2954,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.66722222222222,"B1",0.304,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
8.83388888888889,"B1",0.312,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.00055555555556,"B1",0.3182,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.16722222222222,"B1",0.3288,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.33416666666667,"B1",0.3304,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.50083333333333,"B1",0.3377,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.6675,"B1",0.3409,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
9.83416666666667,"B1",0.346,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.0008333333333,"B1",0.3489,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.1675,"B1",0.3541,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.3341666666667,"B1",0.3608,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.5008333333333,"B1",0.3617,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.6675,"B1",0.3666,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
10.8341666666667,"B1",0.3689,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.0008333333333,"B1",0.3725,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.1675,"B1",0.3743,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.3341666666667,"B1",0.3776,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.5008333333333,"B1",0.3794,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.6677777777778,"B1",0.3826,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
11.8344444444444,"B1",0.3877,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.0011111111111,"B1",0.3909,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.1677777777778,"B1",0.3885,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.3344444444444,"B1",0.3883,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.5011111111111,"B1",0.3896,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.6677777777778,"B1",0.3959,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
12.8344444444444,"B1",0.391,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.0011111111111,"B1",0.391,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.1677777777778,"B1",0.3892,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.3344444444444,"B1",0.3881,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.5011111111111,"B1",0.3902,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.6677777777778,"B1",0.3912,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
13.8344444444444,"B1",0.3843,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
14.0013888888889,"B1",0.3813,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
14.1680555555556,"B1",0.3786,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
14.3347222222222,"B1",0.3755,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
14.5013888888889,"B1",0.376,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
14.6680555555556,"B1",0.3678,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
